orf1	0-53
orf4129	17861-17905
orf4129-r	115474-115524
orf413	31950-31988
orf413-r	123495-124688
orf4130	17906-17950
orf4130-r	115360-115473
orf4131	17951-18145
orf4131-r	115321-115359
orf4132	18146-18208
orf4132-r	115219-115302
orf4133	18209-18247
orf4133-r	115186-115209
orf4134	18248-18295
orf4134-r	115165-115185
orf4135	18296-18322
orf4135-r	115120-115158
orf4136	18326-18424
orf4136-r	114769-115119
orf4137	18425-18475
orf4137-r	114691-114768
orf4138	18476-18541
orf4138-r	114616-114690
orf4139	18542-18565
orf4139-r	114523-114570
orf414	31989-32015
orf414-r	123447-123482
orf4140	18566-18649
orf4140-r	114490-114510
orf4141	18653-18901
orf4141-r	114343-114489
orf4142	18902-19015
orf4142-r	114250-114324
orf4143	19052-19111
orf4143-r	114217-114249
orf4144	19130-19165
orf4144-r	114136-114198
orf4145	19166-19237
orf4145-r	114040-114123
orf4146	19238-19330
orf4146-r	113935-114039
orf4147	19343-19372
orf4147-r	111619-113934
orf4148	19373-19528
orf4148-r	111517-111618
orf4149	19529-19555
orf4149-r	111427-111516
orf415	32019-32081
orf415-r	123300-123446
orf4150	19556-19588
orf4150-r	111382-111417
orf4151	19589-19819
orf4151-r	111316-111348
orf4152	19820-19843
orf4152-r	111259-111315
orf4153	19844-19954
orf4153-r	111175-111258
orf4154	19955-19993
orf4154-r	111142-111174
orf4155	19994-20032
orf4155-r	111088-111132
orf4156	20039-20125
orf4156-r	111064-111087
orf4157	20141-20194
orf4157-r	110932-111060
orf4158	20195-20218
orf4158-r	110863-110907
orf4159	20219-20245
orf4159-r	110656-110862
orf416	32082-32204
orf416-r	123240-123299
orf4160	20246-20305
orf4160-r	110632-110655
orf4161	20318-20389
orf4161-r	110584-110631
orf4162	20390-20506
orf4162-r	110512-110583
orf4163	20507-20575
orf4163-r	110476-110508
orf4164	20576-20596
orf4164-r	110395-110475
orf4165	20597-20626
orf4165-r	110347-110385
orf4166	20627-20800
orf4166-r	110317-110346
orf4167	20801-20893
orf4167-r	110290-110316
orf4168	20894-20923
orf4168-r	110269-110289
orf4169	20924-20983
orf4169-r	110230-110256
orf417	32205-32225
orf417-r	123219-123239
orf4170	20993-21016
orf4170-r	110119-110229
orf4171	21017-21184
orf4171-r	110098-110118
orf4172	21185-21235
orf4172-r	110056-110085
orf4173	21254-21355
orf4173-r	109996-110055
orf4174	21362-21466
orf4174-r	109834-109995
orf4175	21467-21496
orf4175-r	109813-109833
orf4176	21500-21565
orf4176-r	109723-109803
orf4177	21566-21619
orf4177-r	109525-109722
orf4178	21623-21676
orf4178-r	109387-109515
orf4179	21677-21760
orf4179-r	109258-109386
orf418	32259-32288
orf418-r	123198-123218
orf4180	21761-21781
orf4180-r	109219-109257
orf4181	21782-21817
orf4181-r	109126-109218
orf4182	21818-21937
orf4182-r	109075-109125
orf4183	21953-22048
orf4183-r	108964-109044
orf4184	22049-22075
orf4184-r	108787-108945
orf4185	22076-22240
orf4185-r	108616-108786
orf4186	22268-22366
orf4186-r	108505-108615
orf4187	22367-22423
orf4187-r	108454-108504
orf4188	22424-22477
orf4188-r	108277-108453
orf4189	22496-22678
orf4189-r	108235-108261
orf419	32289-32567
orf419-r	123138-123197
orf4190	22688-22711
orf4190-r	108145-108234
orf4191	22712-22768
orf4191-r	108103-108144
orf4192	22769-22849
orf4192-r	107953-108102
orf4193	22850-23170
orf4193-r	107875-107952
orf4194	23171-23272
orf4194-r	107689-107874
orf4195	23273-23353
orf4195-r	107581-107688
orf4196	23354-23404
orf4196-r	107491-107580
orf4197	23405-23431
orf4197-r	107239-107475
orf4198	23432-23560
orf4198-r	107032-107238
orf4199	23567-23587
orf4199-r	107005-107031
orf42	3096-3575
orf42-r	153750-153779
orf420	32568-32591
orf420-r	123030-123137
orf4200	23588-23698
orf4200-r	106876-107004
orf4201	23714-23776
orf4201-r	106711-106875
orf4202	23792-23833
orf4202-r	106681-106710
orf4203	23846-23983
orf4203-r	106450-106680
orf4204	23984-24079
orf4204-r	106375-106449
orf4205	24086-24133
orf4205-r	106030-106371
orf4206	24137-24184
orf4206-r	105979-106029
orf4207	24197-24250
orf4207-r	105937-105978
orf4208	24275-24394
orf4208-r	105859-105936
orf4209	24395-24442
orf4209-r	105784-105840
orf421	32598-32633
orf421-r	122985-123029
orf4210	24458-24496
orf4210-r	105571-105783
orf4211	24497-24586
orf4211-r	105541-105570
orf4212	24587-24691
orf4212-r	105334-105540
orf4213	24692-24781
orf4213-r	105256-105333
orf4214	24782-25000
orf4214-r	105211-105255
orf4215	25004-25027
orf4215-r	104956-105204
orf4216	25028-25096
orf4216-r	104872-104955
orf4217	25097-25258
orf4217-r	104656-104871
orf4218	25259-25288
orf4218-r	104605-104646
orf4219	25298-25327
orf4219-r	104578-104604
orf422	32634-32690
orf422-r	122889-122978
orf4220	25337-25414
orf4220-r	104554-104577
orf4221	25415-25447
orf4221-r	104428-104553
orf4222	25448-25552
orf4222-r	104314-104427
orf4223	25565-25636
orf4223-r	104266-104313
orf4224	25637-25669
orf4224-r	104146-104253
orf4225	25682-25756
orf4225-r	104023-104133
orf4226	25757-25825
orf4226-r	103969-104022
orf4227	25868-25930
orf4227-r	103912-103968
orf4228	25931-25954
orf4228-r	103750-103911
orf4229	25955-26002
orf4229-r	103672-103746
orf423	32715-32741
orf423-r	122826-122870
orf4230	26003-26092
orf4230-r	103651-103671
orf4231	26093-26152
orf4231-r	103600-103650
orf4232	26171-26191
orf4232-r	103534-103599
orf4233	26192-26254
orf4233-r	103501-103533
orf4234	26255-26455
orf4234-r	103468-103500
orf4235	26456-26521
orf4235-r	103414-103467
orf4236	26531-26641
orf4236-r	103333-103413
orf4237	26654-26725
orf4237-r	103267-103332
orf4238	26726-26779
orf4238-r	103147-103254
orf4239	26780-26806
orf4239-r	102919-103146
orf424	32742-32819
orf424-r	122769-122804
orf4240	26807-26854
orf4240-r	102862-102918
orf4241	26855-26911
orf4241-r	102661-102825
orf4242	26912-26941
orf4242-r	102607-102648
orf4243	26942-27004
orf4243-r	102505-102606
orf4244	27005-27034
orf4244-r	102421-102504
orf4245	27035-27112
orf4245-r	102157-102420
orf4246	27113-27175
orf4246-r	102034-102132
orf4247	27176-27241
orf4247-r	101983-102033
orf4248	27242-27268
orf4248-r	101902-101982
orf4249	27302-27376
orf4249-r	101881-101901
orf425	32838-32873
orf425-r	122742-122768
orf4250	27377-27502
orf4250-r	101737-101856
orf4251	27503-27526
orf4251-r	101695-101736
orf4252	27539-27649
orf4252-r	101572-101694
orf4253	27650-27688
orf4253-r	101212-101571
orf4254	27698-27733
orf4254-r	101146-101211
orf4255	27734-27769
orf4255-r	101095-101145
orf4256	27770-27820
orf4256-r	101050-101094
orf4257	27821-27868
orf4257-r	100969-101040
orf4258	27869-27907
orf4258-r	100909-100962
orf4259	27920-27952
orf4259-r	100726-100902
orf426	32874-32897
orf426-r	122694-122723
orf4260	27953-28105
orf4260-r	100627-100725
orf4261	28106-28249
orf4261-r	100564-100623
orf4262	28250-28360
orf4262-r	100507-100563
orf4263	28361-28390
orf4263-r	100486-100506
orf4264	28391-28417
orf4264-r	100441-100485
orf4265	28421-28549
orf4265-r	100393-100440
orf4266	28568-28600
orf4266-r	100156-100326
orf4267	28601-28627
orf4267-r	99877-100155
orf4268	28646-28684
orf4268-r	99805-99876
orf4269	28685-28717
orf4269-r	99529-99804
orf427	32898-33977
orf427-r	122583-122675
orf4270	28736-28756
orf4270-r	99460-99528
orf4271	28763-28789
orf4271-r	99424-99459
orf4272	28790-28834
orf4272-r	99397-99423
orf4273	28835-28894
orf4273-r	99190-99396
orf4274	28901-28966
orf4274-r	99163-99189
orf4275	28967-29101
orf4275-r	99115-99162
orf4276	29105-29140
orf4276-r	99049-99114
orf4277	29150-29209
orf4277-r	98983-99015
orf4278	29210-29248
orf4278-r	98941-98982
orf4279	29255-29287
orf4279-r	98896-98940
orf428	33978-34004
orf428-r	122535-122573
orf4280	29288-29344
orf4280-r	98782-98880
orf4281	29378-29401
orf4281-r	98653-98766
orf4282	29420-29467
orf4282-r	98608-98652
orf4283	29471-29551
orf4283-r	98518-98601
orf4284	29552-29593
orf4284-r	98470-98517
orf4285	29594-29653
orf4285-r	98416-98469
orf4286	29681-29806
orf4286-r	98359-98415
orf4287	29831-29887
orf4287-r	98269-98331
orf4288	29888-29932
orf4288-r	98221-98256
orf4289	29942-29968
orf4289-r	98125-98220
orf429	34005-34055
orf429-r	122430-122534
orf4290	29969-30055
orf4290-r	98095-98124
orf4291	30056-30112
orf4291-r	98071-98094
orf4292	30125-30169
orf4292-r	98026-98058
orf4293	30179-30235
orf4293-r	97831-98010
orf4294	30242-30409
orf4294-r	97759-97827
orf4295	30410-30430
orf4295-r	97558-97758
orf4296	30431-30469
orf4296-r	97534-97557
orf4297	30470-30517
orf4297-r	97459-97533
orf4298	30518-30547
orf4298-r	97405-97458
orf4299	30548-30589
orf4299-r	97345-97404
orf43	3576-3653
orf43-r	153681-153749
orf430	34068-34136
orf430-r	122406-122429
orf4300	30596-30706
orf4300-r	97204-97344
orf4301	30713-30790
orf4301-r	97174-97200
orf4302	30797-30943
orf4302-r	97099-97170
orf4303	30944-30973
orf4303-r	97075-97098
orf4304	30989-31012
orf4304-r	97021-97074
orf4305	31013-31054
orf4305-r	96952-97020
orf4306	31058-31120
orf4306-r	96868-96951
orf4307	31121-31150
orf4307-r	96814-96852
orf4308	31151-31219
orf4308-r	96769-96813
orf4309	31220-31387
orf4309-r	96721-96756
orf431	34137-34172
orf431-r	122334-122405
orf4310	31388-31435
orf4310-r	96691-96717
orf4311	31442-31477
orf4311-r	96559-96684
orf4312	31490-31519
orf4312-r	96469-96540
orf4313	31520-31585
orf4313-r	96430-96468
orf4314	31586-31660
orf4314-r	96388-96408
orf4315	31661-31720
orf4315-r	96352-96387
orf4316	31721-31741
orf4316-r	96322-96351
orf4317	31751-31777
orf4317-r	96280-96306
orf4318	31796-31846
orf4318-r	96235-96279
orf4319	31847-31885
orf4319-r	96202-96234
orf432	34173-34346
orf432-r	122286-122333
orf4320	31886-31945
orf4320-r	96148-96180
orf4321	31946-31984
orf4321-r	96109-96147
orf4322	31985-32008
orf4322-r	96025-96108
orf4323	32027-32086
orf4323-r	95941-96024
orf4324	32096-32131
orf4324-r	95881-95940
orf4325	32132-32215
orf4325-r	95824-95862
orf4326	32234-32281
orf4326-r	95797-95823
orf4327	32282-32317
orf4327-r	95713-95781
orf4328	32318-32374
orf4328-r	95566-95712
orf4329	32375-32470
orf4329-r	95347-95553
orf433	34347-34385
orf433-r	122226-122270
orf4330	32471-32518
orf4330-r	95317-95346
orf4331	32519-32575
orf4331-r	95254-95313
orf4332	32585-32641
orf4332-r	95218-95253
orf4333	32642-32662
orf4333-r	95167-95217
orf4334	32663-32761
orf4334-r	95080-95166
orf4335	32762-32809
orf4335-r	94915-95067
orf4336	32810-32905
orf4336-r	94792-94902
orf4337	32906-32935
orf4337-r	94714-94788
orf4338	32936-32956
orf4338-r	94684-94713
orf4339	32978-33133
orf4339-r	94663-94683
orf434	34392-34457
orf434-r	122199-122225
orf4340	33134-33169
orf4340-r	94450-94662
orf4341	33170-33205
orf4341-r	94402-94449
orf4342	33206-33343
orf4342-r	94363-94383
orf4343	33344-33487
orf4343-r	94309-94362
orf4344	33488-33598
orf4344-r	94261-94281
orf4345	33599-33625
orf4345-r	94186-94257
orf4346	33626-33667
orf4346-r	94150-94185
orf4347	33668-33709
orf4347-r	94027-94149
orf4348	33710-33808
orf4348-r	93928-94026
orf4349	33809-33847
orf4349-r	93907-93927
orf435	34458-34484
orf435-r	122148-122198
orf4350	33854-33928
orf4350-r	93811-93906
orf4351	33947-33988
orf4351-r	93625-93810
orf4352	33995-34087
orf4352-r	93448-93624
orf4353	34103-34126
orf4353-r	93307-93441
orf4354	34127-34183
orf4354-r	93190-93243
orf4355	34223-34243
orf4355-r	93154-93189
orf4356	34244-34282
orf4356-r	93112-93138
orf4357	34301-34396
orf4357-r	93022-93093
orf4358	34397-34420
orf4358-r	92860-93006
orf4359	34451-34513
orf4359-r	92821-92859
orf436	34485-34538
orf436-r	122103-122144
orf4360	34532-34567
orf4360-r	92713-92802
orf4361	34568-34615
orf4361-r	92665-92712
orf4362	34625-34645
orf4362-r	92629-92661
orf4363	34646-34684
orf4363-r	92602-92628
orf4364	34685-34879
orf4364-r	92578-92601
orf4365	34880-34936
orf4365-r	92515-92577
orf4366	34949-35023
orf4366-r	92488-92514
orf4367	35033-35056
orf4367-r	92434-92487
orf4368	35066-35113
orf4368-r	92098-92433
orf4369	35156-35203
orf4369-r	92029-92049
orf437	34539-34601
orf437-r	122082-122102
orf4370	35204-35224
orf4370-r	91876-92013
orf4371	35225-35332
orf4371-r	91816-91875
orf4372	35333-35407
orf4372-r	91786-91815
orf4373	35408-35428
orf4373-r	91750-91785
orf4374	35441-35530
orf4374-r	91522-91749
orf4375	35540-35641
orf4375-r	91444-91521
orf4376	35660-35743
orf4376-r	91414-91443
orf4377	35771-35797
orf4377-r	91222-91413
orf4378	35798-35998
orf4378-r	91135-91215
orf4379	35999-36025
orf4379-r	91081-91134
orf438	34602-34748
orf438-r	121881-122081
orf4380	36041-36106
orf4380-r	90991-91080
orf4381	36107-36175
orf4381-r	90961-90984
orf4382	36188-36211
orf4382-r	90883-90948
orf4383	36224-36250
orf4383-r	90619-90852
orf4384	36251-36325
orf4384-r	90580-90618
orf4385	36326-36460
orf4385-r	90550-90579
orf4386	36479-36499
orf4386-r	90487-90549
orf4387	36515-36589
orf4387-r	90301-90486
orf4388	36590-36670
orf4388-r	90277-90300
orf4389	36671-36721
orf4389-r	90256-90276
orf439	34749-34805
orf439-r	121308-121847
orf4390	36722-36778
orf4390-r	90226-90255
orf4391	36779-36835
orf4391-r	90076-90225
orf4392	36842-36925
orf4392-r	90022-90075
orf4393	36926-36970
orf4393-r	89932-90003
orf4394	36971-37009
orf4394-r	89839-89931
orf4395	37010-37057
orf4395-r	89743-89814
orf4396	37058-37126
orf4396-r	89656-89742
orf4397	37127-37165
orf4397-r	89608-89655
orf4398	37166-37213
orf4398-r	89554-89607
orf4399	37214-37279
orf4399-r	89359-89553
orf44	3672-3839
orf44-r	153591-153680
orf440	34824-34883
orf440-r	121263-121298
orf4400	37328-37369
orf4400-r	89326-89358
orf4401	37382-37486
orf4401-r	89230-89316
orf4402	37487-37663
orf4402-r	89152-89214
orf4403	37664-37687
orf4403-r	89083-89151
orf4404	37688-37753
orf4404-r	88912-89082
orf4405	37754-37801
orf4405-r	88861-88911
orf4406	37802-37867
orf4406-r	88837-88860
orf4407	37868-37969
orf4407-r	88786-88836
orf4408	37973-38131
orf4408-r	88678-88785
orf4409	38132-38215
orf4409-r	88561-88677
orf441	34884-34940
orf441-r	121077-121262
orf4410	38222-38269
orf4410-r	88537-88560
orf4411	38270-38338
orf4411-r	88489-88536
orf4412	38339-38365
orf4412-r	88432-88488
orf4413	38366-38407
orf4413-r	88309-88431
orf4414	38429-38458
orf4414-r	88276-88308
orf4415	38459-38482
orf4415-r	88198-88260
orf4416	38483-38533
orf4416-r	88147-88197
orf4417	38540-38563
orf4417-r	88084-88146
orf4418	38564-38665
orf4418-r	88024-88083
orf4419	38666-38701
orf4419-r	87964-88017
orf442	34941-35060
orf442-r	121032-121076
orf4420	38708-38746
orf4420-r	87919-87951
orf4421	38747-38806
orf4421-r	87835-87912
orf4422	38807-38833
orf4422-r	87805-87834
orf4423	38834-38944
orf4423-r	87781-87804
orf4424	38945-38998
orf4424-r	87748-87780
orf4425	39002-39124
orf4425-r	87706-87747
orf4426	39125-39166
orf4426-r	87664-87705
orf4427	39182-39238
orf4427-r	87577-87663
orf4428	39266-39331
orf4428-r	87424-87576
orf4429	39332-39382
orf4429-r	87403-87423
orf443	35061-35192
orf443-r	120966-121007
orf4430	39404-39430
orf4430-r	87376-87402
orf4431	39431-39490
orf4431-r	87286-87375
orf4432	39491-39550
orf4432-r	87265-87285
orf4433	39551-39580
orf4433-r	87205-87264
orf4434	39581-39691
orf4434-r	87181-87204
orf4435	39692-39754
orf4435-r	87064-87180
orf4436	39764-39793
orf4436-r	86974-87060
orf4437	39794-39817
orf4437-r	86944-86973
orf4438	39821-39862
orf4438-r	86905-86934
orf4439	39863-40027
orf4439-r	86854-86874
orf444	35193-35291
orf444-r	120885-120911
orf4440	40034-40150
orf4440-r	86809-86835
orf4441	40166-40231
orf4441-r	86767-86808
orf4442	40244-40273
orf4442-r	86650-86766
orf4443	40274-40294
orf4443-r	86581-86604
orf4444	40295-40339
orf4444-r	86539-86580
orf4445	40340-40381
orf4445-r	86503-86538
orf4446	40400-40423
orf4446-r	86347-86502
orf4447	40424-40474
orf4447-r	86266-86340
orf4448	40475-40501
orf4448-r	86197-86250
orf4449	40502-40537
orf4449-r	85990-86178
orf445	35310-35342
orf445-r	120843-120884
orf4450	40541-40678
orf4450-r	85969-85989
orf4451	40679-40729
orf4451-r	85939-85968
orf4452	40784-40840
orf4452-r	85918-85938
orf4453	40841-40921
orf4453-r	85879-85908
orf4454	40922-40951
orf4454-r	85852-85878
orf4455	40952-40972
orf4455-r	85801-85833
orf4456	40973-41008
orf4456-r	85759-85800
orf4457	41009-41152
orf4457-r	85549-85716
orf4458	41153-41200
orf4458-r	85384-85542
orf4459	41213-41302
orf4459-r	85360-85383
orf446	35343-35597
orf446-r	120798-120818
orf4460	41303-41347
orf4460-r	85276-85332
orf4461	41348-41503
orf4461-r	85237-85275
orf4462	41504-41662
orf4462-r	85177-85212
orf4463	41663-41710
orf4463-r	85123-85176
orf4464	41711-41809
orf4464-r	85075-85107
orf4465	41810-41866
orf4465-r	84940-85074
orf4466	41900-41965
orf4466-r	84877-84939
orf4467	41972-42139
orf4467-r	84853-84876
orf4468	42140-42160
orf4468-r	84766-84852
orf4469	42161-42238
orf4469-r	84739-84759
orf447	35598-35621
orf447-r	120702-120797
orf4470	42248-42286
orf4470-r	84679-84723
orf4471	42287-42382
orf4471-r	84610-84663
orf4472	42383-42445
orf4472-r	84580-84609
orf4473	42446-42487
orf4473-r	84499-84573
orf4474	42497-42610
orf4474-r	84421-84498
orf4475	42623-42709
orf4475-r	84319-84420
orf4476	42713-42751
orf4476-r	84295-84318
orf4477	42752-42796
orf4477-r	84256-84282
orf4478	42803-42835
orf4478-r	84217-84252
orf4479	42836-42856
orf4479-r	84190-84216
orf448	35637-35714
orf448-r	120651-120692
orf4480	42872-42892
orf4480-r	84103-84189
orf4481	42893-42931
orf4481-r	84073-84102
orf4482	42932-42988
orf4482-r	83887-84054
orf4483	42989-43009
orf4483-r	83845-83880
orf4484	43022-43090
orf4484-r	83812-83844
orf4485	43091-43147
orf4485-r	83701-83808
orf4486	43148-43270
orf4486-r	83590-83700
orf4487	43271-43303
orf4487-r	83536-83586
orf4488	43313-43360
orf4488-r	83506-83535
orf4489	43379-43510
orf4489-r	83470-83493
orf449	35727-35810
orf449-r	120582-120650
orf4490	43511-43600
orf4490-r	83383-83469
orf4491	43601-43693
orf4491-r	83323-83382
orf4492	43694-43783
orf4492-r	83281-83322
orf4493	43793-43858
orf4493-r	83224-83280
orf4494	43859-44029
orf4494-r	83203-83223
orf4495	44036-44056
orf4495-r	83161-83184
orf4496	44063-44086
orf4496-r	83098-83154
orf4497	44087-44167
orf4497-r	82975-83097
orf4498	44174-44227
orf4498-r	82948-82974
orf4499	44246-44314
orf4499-r	82846-82938
orf45	3840-4025
orf45-r	153516-153575
orf450	35814-35876
orf450-r	120561-120581
orf4500	44315-44335
orf4500-r	82774-82845
orf4501	44357-44422
orf4501-r	82663-82773
orf4502	44423-44509
orf4502-r	82573-82662
orf4503	44510-44584
orf4503-r	82552-82572
orf4504	44585-44605
orf4504-r	82486-82551
orf4505	44621-44647
orf4505-r	82375-82485
orf4506	44657-44689
orf4506-r	82354-82374
orf4507	44690-44767
orf4507-r	81802-82353
orf4508	44768-44791
orf4508-r	81775-81801
orf4509	44792-44815
orf4509-r	81706-81738
orf451	35877-36122
orf451-r	120465-120560
orf4510	44816-44854
orf4510-r	81595-81690
orf4511	44855-44914
orf4511-r	81568-81594
orf4512	44924-44953
orf4512-r	81529-81558
orf4513	44957-44995
orf4513-r	81508-81528
orf4514	44996-45103
orf4514-r	81481-81507
orf4515	45104-45142
orf4515-r	81454-81480
orf4516	45146-45262
orf4516-r	81421-81453
orf4517	45263-45292
orf4517-r	81262-81396
orf4518	45311-45331
orf4518-r	81169-81261
orf4519	45332-45478
orf4519-r	81031-81168
orf452	36123-36227
orf452-r	120435-120455
orf4520	45479-45562
orf4520-r	80959-81027
orf4521	45569-45619
orf4521-r	80932-80958
orf4522	45620-45640
orf4522-r	80866-80931
orf4523	45641-45775
orf4523-r	80794-80865
orf4524	45776-45877
orf4524-r	80716-80754
orf4525	45908-45946
orf4525-r	80692-80715
orf4526	45947-45973
orf4526-r	80617-80688
orf4527	45974-46021
orf4527-r	80557-80610
orf4528	46022-46042
orf4528-r	80116-80535
orf4529	46043-46093
orf4529-r	80083-80109
orf453	36240-36308
orf453-r	120306-120434
orf4530	46094-46132
orf4530-r	80029-80070
orf4531	46133-46201
orf4531-r	79981-80028
orf4532	46202-46222
orf4532-r	79933-79980
orf4533	46226-46351
orf4533-r	79912-79932
orf4534	46364-46399
orf4534-r	79876-79911
orf4535	46400-46432
orf4535-r	79816-79875
orf4536	46445-46492
orf4536-r	79780-79812
orf4537	46508-46579
orf4537-r	79699-79758
orf4538	46595-46651
orf4538-r	79660-79698
orf4539	46652-46690
orf4539-r	79639-79659
orf454	36309-36575
orf454-r	120270-120305
orf4540	46691-46762
orf4540-r	79531-79629
orf4541	46763-46843
orf4541-r	79444-79530
orf4542	46844-46873
